customer_id,customer_name,customer_segment
1,Aaron Bergman,Consumer
2,Aaron Hawkins,Corporate
3,Aaron Smayling,Corporate
4,Adam Bellavance,Home Office
5,Adam Hart,Corporate
6,Adam Shillingsburg,Consumer
7,Adrian Barton,Consumer
8,Adrian Hane,Home Office
9,Adrian Shami,Home Office
10,Aimee Bixby,Consumer
11,Alan Barnes,Consumer
12,Alan Dominguez,Home Office
13,Alan Haines,Corporate
14,Alan Hwang,Consumer
15,Alan Schoenberger,Corporate
16,Alan Shonely,Consumer
17,Alejandro Ballentine,Home Office
18,Alejandro Grove,Consumer
19,Alejandro Savely,Corporate
20,Aleksandra Gannaway,Corporate
21,Alex Avila,Consumer
22,Alex Grayson,Consumer
23,Alex Russell,Corporate
24,Alice McCarthy,Corporate
25,Allen Armold,Consumer
26,Allen Goldenen,Consumer
27,Allen Rosenblatt,Corporate
28,Alyssa Crouse,Corporate
29,Alyssa Tate,Home Office
30,Amy Cox,Consumer
31,Amy Hunt,Consumer
32,Andrew Allen,Consumer
33,Andrew Gjertsen,Corporate
34,Andrew Roberts,Consumer
35,Andy Gerbode,Corporate
36,Andy Reiter,Consumer
37,Andy Yotov,Corporate
38,Anemone Ratner,Consumer
39,Angele Hood,Consumer
40,Ann Blume,Corporate
41,Ann Chong,Corporate
42,Ann Steele,Home Office
43,Anna Andreadi,Consumer
44,Anna Chung,Consumer
45,Anna Gayman,Consumer
46,Anna Häberlin,Corporate
47,Anne McFarland,Consumer
48,Anne Pryor,Home Office
49,Annie Thurman,Consumer
50,Annie Zypern,Consumer
51,Anthony Garverick,Home Office
52,Anthony Jacobs,Corporate
53,Anthony Johnson,Corporate
54,Anthony O'Donnell,Corporate
55,Anthony Rawles,Corporate
56,Anthony Witt,Consumer
57,Arianne Irving,Consumer
58,Art Ferguson,Consumer
59,Art Foster,Consumer
60,Arthur Gainer,Consumer
61,Arthur Prichep,Consumer
62,Arthur Wiediger,Home Office
63,Ashley Jarboe,Consumer
64,Astrea Jones,Consumer
65,Barbara Fisher,Corporate
66,Barry Blumstein,Corporate
67,Barry Franz,Home Office
