customer_id,customer_name,customer_segment,order_id,order_date,order_year,order_month,month_name,month-year,order_day,shipping_city,shipping_state,shipping_region,shipping_country,shipping_postal_code,shipping_date,shipping_year,shipping_month,shipping_day,shipping_mode,order_details_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales,product_id,product_name,product_category,product_subcategory,product_manufacturer
91,Bill Shonely,Corporate,CA-2015-100004,9/6/2015,2015,9,Sep,Sep-2015,6,New York City,New York,East,United States,10011,9/6/2015,2015,9,6,Same Day,1,62,0.1,327,0.39,837,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
91,Bill Shonely,Corporate,CA-2015-100004,9/6/2015,2015,9,Sep,Sep-2015,6,New York City,New York,East,United States,10011,9/6/2015,2015,9,6,Same Day,2,18,0.2,565,0.26,2174,764,"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,Global
224,Dennis Kane,Consumer,CA-2015-100006,9/7/2015,2015,9,Sep,Sep-2015,7,New York City,New York,East,United States,10024,9/13/2015,2015,9,13,Standard Class,3,3,0,110,0.29,378,161,AT&T EL51110 DECT,Technology,Phones,AT&T
62,Arthur Wiediger,Home Office,CA-2015-100032,9/7/2015,2015,9,Sep,Sep-2015,7,New York City,New York,East,United States,10025,9/13/2015,2015,9,13,Standard Class,4,53,0.1,272,0.38,715,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
62,Arthur Wiediger,Home Office,CA-2015-100032,9/7/2015,2015,9,Sep,Sep-2015,7,New York City,New York,East,United States,10025,9/13/2015,2015,9,13,Standard Class,5,23,0.1,96,0.31,311,1342,Recycled Premium Regency Composition Covers,Office Supplies,Binders,Other
62,Arthur Wiediger,Home Office,CA-2015-100032,9/7/2015,2015,9,Sep,Sep-2015,7,New York City,New York,East,United States,10025,9/13/2015,2015,9,13,Standard Class,6,16,0.1,407,0.27,1506,613,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies,Appliances,Eureka
311,Greg Matthias,Consumer,CA-2015-100051,9/6/2015,2015,9,Sep,Sep-2015,6,New York City,New York,East,United States,10011,9/12/2015,2015,9,12,Standard Class,7,79,0.2,318,0.35,909,812,Holmes Odor Grabber,Office Supplies,Appliances,Holmes
246,Ed Braxton,Corporate,CA-2015-100090,7/8/2015,2015,7,Jul,Jul-2015,8,San Francisco,California,West,United States,94122,7/12/2015,2015,7,12,Standard Class,8,6,0.2,69,0.35,197,1648,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,Wilson Jones
246,Ed Braxton,Corporate,CA-2015-100090,7/8/2015,2015,7,Jul,Jul-2015,8,San Francisco,California,West,United States,94122,7/12/2015,2015,7,12,Standard Class,9,3,0.2,-88,-0.18,502,819,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Hon
388,John Lee,Consumer,CA-2015-100136,9/5/2015,2015,9,Sep,Sep-2015,5,New York City,New York,East,United States,10011,9/11/2015,2015,9,11,Standard Class,10,130,0.3,1399,0.41,3413,920,Imation Clip USB flash drive - 8 GB,Technology,Accessories,Imation
388,John Lee,Consumer,CA-2015-100136,9/5/2015,2015,9,Sep,Sep-2015,5,New York City,New York,East,United States,10011,9/11/2015,2015,9,11,Standard Class,11,94,0.1,64,0.21,305,1216,OIC Binder Clips,Office Supplies,Fasteners,Other
388,John Lee,Consumer,CA-2015-100136,9/5/2015,2015,9,Sep,Sep-2015,5,New York City,New York,East,United States,10011,9/11/2015,2015,9,11,Standard Class,12,143,0.1,734,0.38,1931,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
388,John Lee,Consumer,CA-2015-100136,9/5/2015,2015,9,Sep,Sep-2015,5,New York City,New York,East,United States,10011,9/11/2015,2015,9,11,Standard Class,13,324,0.2,114,0.22,518,1507,Staples,Office Supplies,Fasteners,Other
388,John Lee,Consumer,CA-2015-100136,9/5/2015,2015,9,Sep,Sep-2015,5,New York City,New York,East,United States,10011,9/11/2015,2015,9,11,Standard Class,14,216,0.1,264,0.34,778,1600,Unpadded Memo Slips,Office Supplies,Paper,Other
